title|title(eng)|year|img|score(bl)|score(user)|type|theme|mechanism|bggcode|minplayer|maxplayer|time|mintime|maxtime|age|difficulty
세라자드|Shahrazad|2015|https://boardlife.co.kr/wys2/swf_upload/2022/05/19/1652961255413834.jpg|6.666|6.40|가족|카드 게임,판타지|협동 게임,핸드 관리,패턴 구축|186767|1|2|10|10|10|8|1.25
원티드!|Wanted!|1999|https://boardlife.co.kr/data/boardgame_strategy/2016/02/12/1455203176-254217.png|6.668|6.63|가족|액션 / 손재주,카드 게임,어린이 게임||2833|3|5|15|15|15|7|1
팁탭|Tip Tap|1999|https://boardlife.co.kr/wys2/swf_upload/2022/02/02/1643736213264716.jpg|6.668|6.45|파티|파티 게임,실시간||848|3|6|45|45|45|7|1
사이노메 콜로세움 R|Sainome Colosseum R|2017|https://boardlife.co.kr/wys2/swf_upload/2022/06/30/1656519790098970.png|6.667|6.20|가족|카드 게임,판타지,전투|액션 포인트,주사위 굴리기,핸드 관리,오픈 드래프팅|243220|2|4|30|15|30|10|2
캔트 스탑 익스프레스|Can't Stop Express|1989|https://boardlife.co.kr/wys2/swf_upload/2022/02/02/164373896533871.jpg|6.667|7.11|가족|주사위|주사위 굴리기,1인용 게임|217547|1|4|30|30|30|10|1.3333
훈타 : 대통령 만세|Junta: Viva el Presidente!|2010|https://boardlife.co.kr/wys2/swf_upload/2022/08/06/1659720402116413.jpg|6.667|6.50|파티|주사위,전투,유머,마피아,협상,정치|주사위 굴리기,핸드 관리,동시 동작 선택|84159|3|5|60|45|60|10|1.9296
에코 : 첫번째 대륙|Ecos: First Continent|2019|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/09/06/1567698168-176187.png|6.666|6.10|전략|동물,환경,선사시대,영토 건설|빙고,계약,모듈형 게임판,세트 컬렉션,동시 동작 선택,타일 ​​배치,턴 오더: 프로그레시브|279254|2|6|75|45|75|14|2.6023
도쿄 단간|Tokyo Dangan|2017|https://boardlife.co.kr/data/boardgame_strategy/2017/07/04/1499102756-845361.gif|6.667|6.20|가족|미로,운송|치고받기,타일 ​​배치|228662|2|4|30|30|0|10|2
조각보-설-|Jogakbo|2019|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/06/08/1559988464-79251.jpg|6.667|6.55|전쟁|퍼즐||290878|2|4|40|20|40|8|0
변환괴도J ~팬텀 다이아의 비밀~|Hengen Kaitou J -Fantomu Daiya no Himitsu-|2016|https://boardlife.co.kr/wys2/swf_upload/2022/07/31/1659207872494992.jpg|6.667|6.20|전쟁|카드 게임,추리,스파이 / 비밀 요원|가변적 플레이어 능력|223395|3|5|20|10|20|10|0
좀비 타워 3D|Zombie Tower 3D|2015|https://boardlife.co.kr/wys2/swf_upload/2022/07/17/1658005779279782.jpg|6.662|6.56|가족|협상,좀비|액션 포인트,협동 게임|189829|3|4|60|45|60|10|1.75
유령대소동|Ghost Blitz|2010|https://boardlife.co.kr/wys2/swf_upload/2022/09/12/1662916512988301.jpg|6.665|6.61|가족|액션 / 손재주,카드 게임,어린이 게임,실시간|패턴 인식,빨리 맞추기|83195|2|8|20|20|20|8|1.1489
쿼런틴|Quarantine|2013|https://boardlife.co.kr/wys2/swf_upload/2022/02/03/1643882410782142.jpg|6.651|5.00|전략|의학|액션 포인트,타일 ​​배치|109764|2|4|60|60|60|13|2.1356
여우와 탐정|Outfoxed!|2014|https://boardlife.co.kr/wys2/swf_upload/2022/01/23/1642865530294575.jpg|6.667|6.50|어린이|어린이 게임,주사위|협동 게임,추리,주사위 굴리기,다이 아이콘 해상도,구획 이동,기억,정사각형 그리드|172931|2|4|20|20|20|5|1.1237
시간 전당포|The Time Pawnshop|2016|https://boardlife.co.kr/data/boardgame_strategy_reg/2018/10/24/1540363637-409212.jpg|6.667|6.20|테마|액션 / 손재주,경제,수학|작업 대기열,거래|230010|2|5|40|20|40|8|2
일곱 현자|Die Sieben Weisen|2002|https://boardlife.co.kr/data/boardgame_strategy/2013/06/20/1371658855-301502.jpg|6.667|6.20|전략|카드 게임,협상|경매/입찰,팀 기반 게임|3231|3|5|90|90|90|12|2.4
드래곤타워|Drachenturm|2016|https://boardlife.co.kr/wys2/swf_upload/2022/07/17/1658006078927228.jpg|6.667|6.19|어린이|액션 / 손재주,어린이 게임,판타지,기억력|협동 게임,기억|209222|2|4|15|15|15|5|1.3
딕싯 : 하모니즈|Dixit: Harmonies|2017|https://boardlife.co.kr/data/boardgame_strategy_reg/2018/11/20/1542708705-476009.jpg|6.667|7.45|파티|카드 게임,확장 게임,파티 게임|스토리텔링,투표|234553|3|6|60|60|60|8|1.0714
세가지 소원|3 Wishes|2016|https://boardlife.co.kr/data/boardgame_strategy/2016/07/29/1469773064-617635.png|6.666|6.40|가족|카드 게임,추리,기억력,신화|기억,세트 컬렉션,치고받기|198836|3|5|5|3|5|8|1.1818
할리갈리 링엘딩|Ring-A-Ding-Ding|2011|https://boardlife.co.kr/data/boardgame_strategy/2016/02/07/1454794850-534644.png|6.667|6.90|전쟁|액션 / 손재주,어린이 게임|패턴 구축|91394|2|6|10|10|10|4|1
데스페라도스|Desperados|1990|https://boardlife.co.kr/wys2/swf_upload/2022/04/28/1651074469023912.png|6.667|6.20|가족|미국 서부,카드 게임|팀 기반 게임|524|2|4|30|30|30|8|1.4667
아노 1503|Anno 1503|2003|https://boardlife.co.kr/wys2/swf_upload/2022/04/04/1649002209432996.jpg|6.667|6.20|가족|도시 건설,문명,탐험,비디오 게임 테마|타일 ​​배치|8166|2|4|90|90|90|10|2.3475
캣 크라임|Katze|2019|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/04/13/1555145520-439963.jpg|6.667|6.10|전쟁|동물,어린이 게임,주사위,숫자|주사위 굴리기|30950|2|4|5|5|5|4|1
왓츠업|What's Up|2016|https://boardlife.co.kr/wys2/swf_upload/2022/03/13/1647101336949351.jpg|6.667|6.20|가족|동물,추리,기억력|기억,세트 컬렉션|201054|2|4|20|10|20|8|1.1111
버팔로|Buffalo|2012|https://boardlife.co.kr/data/boardgame_strategy/2016/09/08/1473309355-535994.png|6.667|6.20|파티|교육,파티 게임,실시간,트리비아|기억,패턴 인식,실시간,세트 컬렉션|127505|2|8|20|20|20|14|1.75
할로윈 파티!|Halloween Party|2018|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/04/28/1556405644-341508.jpg|6.667|6.20|전쟁|카드 게임|세트 컬렉션|257508|3|5|40|30|40|14|0
모든 고양이들의 연회|Festival of a Thousand Cats|2016|https://boardlife.co.kr/wys2/swf_upload/2022/05/18/1652879535448719.png|6.661|6.55|가족|동물,판타지|경매/입찰,핸드 관리,동시 동작 선택,트릭 테이킹|199086|3|4|40|20|40|7|1.6667
썬더 앤 라이트닝|Thunder & Lightning|2016|https://boardlife.co.kr/wys2/swf_upload/2022/08/05/1659647623071313.jpg|6.666|8.75|전략|블러핑,카드 게임,판타지,신화|액션 포인트,핸드 관리,비밀 유닛 배치|191963|2|2|40|40|40|13|1.8333
우주 사관생도|Space Cadets|2012|https://boardlife.co.kr/wys2/swf_upload/2022/06/01/1654015635483482.jpg|6.665|6.54|테마|액션 / 손재주,퍼즐,실시간,SF,우주 탐험|협동 게임,주사위 굴리기,플리킹,구획 이동,기억,모듈형 게임판,패턴 구축,패턴 인식,프로그래밍된 움직임,행운을 빕니다,재굴림과 잠금,실시간,시나리오 / 미션 / 캠페인 게임,세트 컬렉션|123096|3|6|120|60|120|8|2.7399
포켓 디텍티브: 사건 번호 01|Pocket Detective|2019|https://boardlife.co.kr/data/boardgame_strategy/2021/01/12/1610422785-350427.jpg|6.665|6.03|테마|카드 게임,추리|협동 게임,스토리텔링|275589|1|6|60|45|60|14|1.5294
히포|Hippo|2017|https://boardlife.co.kr/data/boardgame_strategy/2021/03/18/1616026269-738061.jpg|6.666|6.50|가족|동물,스포츠|주사위 굴리기,모듈형 게임판|234105|2|4|20|15|20|6|1
시저와 클레오파트라|Caesar & Cleopatra|1997|https://boardlife.co.kr/data/boardgame_strategy/2016/03/28/1459135742-590559.png|6.666|7.08|전략|고대,블러핑,카드 게임|지역 과반수/영향력,핸드 관리,세트 컬렉션|132|2|2|60|60|60|10|1.9104
레일 패스|Rail Pass|2019|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/09/18/1568815705-792486.jpg|6.666|6.60|가족|액션 / 손재주,파티 게임,퍼즐,실시간,기차|협동 게임,모듈형 게임판,수령과 배달,지점 이동|210908|2|6|10|5|10|13|2
레이싱카|Monza|2000|https://boardlife.co.kr/data/boardgame_strategy/2017/01/13/1484292222-971866.gif|6.667|6.96|어린이|어린이 게임,주사위,레이싱,스포츠|주사위 굴리기,경주,롤 / 스핀 및 이동,트랙 이동|4209|2|6|10|10|10|5|1.055
사프라니토|Safranito|2010|https://boardlife.co.kr/data/boardgame_strategy/2013/06/19/1371651823-273785.jpg|6.664|6.00|가족|액션 / 손재주,경제|세트 컬렉션|66849|2|4|45|30|45|10|1.7471
닉네임|nickname|2019|https://boardlife.co.kr/data/boardgame_strategy_reg/2020/02/12/1581478333-501530.jpg|6.664|6.13|전쟁|카드 게임,파티 게임|세트 컬렉션,치고받기|328292|3|6|15|10|15|8|1
사갈랜드|Enchanted Forest|1981|https://boardlife.co.kr/wys2/swf_upload/2022/08/02/165936803277216.jpg|6.666|6.40|어린이|모험,카드 게임,어린이 게임,추리,판타지,기억력,영화 / TV / 라디오 테마|기억,롤 / 스핀 및 이동|938|2|6|60|30|60|6|1.2527
플랫라인|Flatline|2017|https://boardlife.co.kr/wys2/swf_upload/2022/04/05/164909029493288.jpg|6.665|6.50|전략|주사위,의학,실시간,SF|협동 게임,주사위 굴리기,행운을 빕니다,1인용 게임|216597|1|5|45|25|45|10|2.3103
드래곤 밸리|Dragon Valley|2014|https://boardlife.co.kr/data/boardgame_strategy/2014/04/06/1396795848-771266.jpg|6.666|6.10|어린이|액션 / 손재주,어린이 게임|협동 게임|157083|2|4|20|20|20|6|1.1429
빨간모자는 잠들지 않아|Eat Me If You Can!|2015|https://boardlife.co.kr/data/boardgame_strategy/2017/03/16/1489646702-283462.gif|6.666|5.05|파티|블러핑,추리|행운을 빕니다|145722|3|6|10|10|10|6|1.0345
정원장어 놀이|Garden Eel Go!|2016|https://boardlife.co.kr/wys2/swf_upload/2022/02/22/164545835329991.jpg|6.663|6.64|전쟁|동물,블러핑,카드 게임|치고받기,투표|209924|3|5|15|15|15|6|1
아키펠라고|Archipelago|2012|https://boardlife.co.kr/data/boardgame_strategy/2013/06/14/1371151355-880874.jpg|6.664|6.00|전략|문명,경제,탐험,해상,협상,르네상스|지역 과반수/영향력,경매/입찰,상품 투기,구획 이동,육각형 구획,지도 추가,모듈형 게임판,준협동 게임,타일 ​​배치,거래,배신자 게임,근로자 배치|105551|2|5|240|30|240|14|3.7351
레터 잼|Letter Jam|2019|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/06/25/1561437719-180544.jpg|6.665|7.05|가족|카드 게임,추리,파티 게임,단어 게임|통신 제한,협동 게임|275467|2|6|45|45|45|10|1.9836
코퍼레이트 아메리카|Corporate America|2013|https://boardlife.co.kr/wys2/swf_upload/2022/05/14/16525074998671.jpg|6.664|6.00|테마|경제,유머,정치|경매/입찰,뇌물,협상,세트 컬렉션,투표|125943|3|6|120|90|120|13|2.1724
대상인|Master Merchant|2011|https://boardlife.co.kr/wys2/swf_upload/2022/07/16/1657965774666497.jpg|6.665|6.50|전략|카드 게임|핸드 관리|107638|3|4|15|15|15|10|2.1111
북메이커|Bookmaker|2012|https://boardlife.co.kr/wys2/swf_upload/2022/05/29/165376674184389.jpg|6.666|6.10|가족|파티 게임|베팅 및 블러핑|113332|3|9|45|45|45|12|2
래빗 헌트|Rabbit Hunt|2009|https://boardlife.co.kr/data/boardgame_strategy/2016/01/03/1451790651-602387.png|6.666|6.10|가족|동물,블러핑,카드 게임,기억력|핸드 관리,기억,지점 이동,타일 ​​배치|40602|2|4|20|20|20|0|1.5
그랑프리|Grand Prix|2016|https://boardlife.co.kr/wys2/swf_upload/2022/07/17/165805654289552.jpg|6.666|6.90|테마|레이싱|핸드 관리|163163|2|11|90|90|90|14|2.3333
시간과 우주|Time 'n' Space|2013|https://boardlife.co.kr/data/boardgame_strategy/2016/08/04/1470271985-194945.png|6.666|6.12|전략|경제,협상,실시간,SF,운송|액션 타이머,수령과 배달,지점 이동,세트 컬렉션,동시 동작 선택|137238|3|4|30|30|30|10|2.2414
톨레도|Toledo|2008|https://boardlife.co.kr/wys2/swf_upload/2022/05/05/1651680092141184.jpg|6.666|6.10|가족|전투,산업 / 제조,르네상스|핸드 관리,소유권,타일 ​​배치,트랙 이동,근로자 배치|34599|2|4|60|45|60|10|2.177
마이크로필름|[microfilms]|2015|https://boardlife.co.kr/wys2/swf_upload/2022/04/07/164926603079941.jpg|6.664|6.02|파티|카드 게임,추리,스파이 / 비밀 요원|핸드 관리,기억,팀 기반 게임|175867|2|6|30|10|30|12|1.8462
물고기 광란|Fish Frenzy|2016|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/09/19/1568875858-112691.jpg|6.666|6.10|가족|동물,해상|경매/입찰,다중 입찰 경매,세트 컬렉션|196122|3|5|30|20|30|10|1.3333
트라이아스기|Trias|2002|https://boardlife.co.kr/data/boardgame_strategy/2013/06/13/1371068146-481382.jpg|6.666|6.60|전략|동물,선사시대|액션 포인트,지역 과반수/영향력,모듈형 게임판|4249|2|5|45|45|45|12|2.3973
로마: 시티 오브 마블|Rome: City of Marble|2015|https://boardlife.co.kr/data/boardgame_strategy/2015/09/11/1441947178-451835.png|6.666|6.10|전략|고대,도시 건설|지역 과반수/영향력,패턴 구축,타일 ​​배치|179385|2|4|75|45|75|12|2.5385
파이러툰스|Piratoons|2015|https://boardlife.co.kr/data/boardgame_strategy/2016/07/13/1468377048-485362.png|6.666|6.12|가족|해상,해적,실시간|경매/입찰,경매: 손재주,오픈 드래프팅,세트 컬렉션|172560|2|4|30|30|30|8|1.8235
꽃과 눈보라|花と吹雪 (Bloom in Blizzard)|2018|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/04/28/1556405041-449158.png|6.666|6.10|전쟁|블러핑|행운을 빕니다,트릭 테이킹|261431|2|6|30|20|30|12|0
쇼타임|Showtime|2018|https://boardlife.co.kr/data/boardgame_strategy_reg/2018/12/20/1545264691-613537.jpg|6.666|6.10|전쟁|파티 게임|팀 기반 게임|184886|4|16|45|45|0|0|0
이커즈|Yikerz!|2009|https://boardlife.co.kr/data/boardgame_strategy/2013/06/14/1371136484-967886.jpg|6.664|6.00|가족|액션 / 손재주||47218|1|4|15|15|15|14|1.2083
타이니 에픽 디펜더즈|Tiny Epic Defenders|2014|https://boardlife.co.kr/wys2/swf_upload/2022/02/06/1644081510096280.jpg|6.664|6.00|전략|판타지,중세|액션 포인트,지역 과반수/영향력,캠페인/배틀 카드 주도,치트 뽑기 시스템,협동 게임,1인용 게임,가변적 플레이어 능력|155708|1|4|30|30|30|13|1.8137
숨겨진 이야기를 찾아서 : 대항해 시대|5er Finden|2014|https://boardlife.co.kr/data/boardgame_strategy/2014/03/27/1395918999-757273.jpg|6.664|6.00|전쟁|주사위,퍼즐|주사위 굴리기,패턴 인식|285535|1|4|20|20|0|7|1
니트 위트|Knit Wit|2016|https://boardlife.co.kr/wys2/swf_upload/2022/03/02/1646205999094166.png|6.664|6.00|파티|단어 게임|감싸기,종이와 연필|191982|2|8|15|15|15|8|1.7222
오늘도 집에 갈 수 없어|Endless Working|2016|https://boardlife.co.kr/wys2/swf_upload/2022/06/05/1654370704424217.jpg|6.664|6.00|전쟁|카드 게임,파티 게임|행운을 빕니다,세트 컬렉션|224873|2|6|10|1|10|9|0
말썽꾸러기 고양이|Cantankerous Cats|2016|https://boardlife.co.kr/wys2/swf_upload/2022/08/31/1661877726184050.jpg|6.664|7.00|가족|동물,카드 게임,전투,유머|핸드 관리,치고받기|176651|2|6|60|20|60|10|2
버켓 킹|The Bucket King|2002|https://boardlife.co.kr/data/boardgame_strategy/2013/11/18/1384785711-60712.jpg|6.665|7.23|가족|동물,카드 게임|핸드 관리,치고받기|3141|2|6|45|45|45|10|1.2316
낙원의 정복|Conquest of Paradise|2007|https://boardlife.co.kr/wys2/swf_upload/2022/05/26/165349721187030.jpg|6.664|6.00|전략|고대,문명,탐험,해상,전쟁 게임|지역 과반수/영향력,주사위 굴리기,구획 이동,육각형 구획,네트워크 및 경로 구축,비밀 유닛 배치,시뮬레이션,타일 ​​배치|15954|1|4|90|90|90|12|2.4912
파이트 포 올림푸스|Fight for Olympus|2016|https://boardlife.co.kr/wys2/swf_upload/2022/06/30/165652132095639.jpg|6.664|6.70|전략|고대,카드 게임,신화|핸드 관리,치고받기,주도권 싸움|192834|2|2|30|30|30|12|2.0976
네버모어|Nevermore|2015|https://boardlife.co.kr/wys2/swf_upload/2022/03/26/1648283002315479.jpg|6.665|6.35|가족|동물,카드 게임|비공개 제도,핸드 관리,세트 컬렉션,치고받기|173047|3|6|60|45|60|14|1.8611
언더 폴링 스카이|Under Falling Skies: A 9-Card Print-and-Play Game|2019|https://boardlife.co.kr/data/boardgame_strategy_reg/2020/05/06/1588758833-213185.png|6.664|7.27|전략|출력 가능 게임,SF|주사위 굴리기,모듈형 게임판,재굴림과 잠금,1인용 게임,정사각형 그리드,근로자 배치,주사위로 일꾼 배치|273779|1|1|40|20|40|8|2.6486
베네치아|Venetia|2013|https://boardlife.co.kr/wys2/swf_upload/2022/04/16/16500824477483.jpg|6.664|6.02|전략|문명,중세,르네상스|지역 과반수/영향력,주사위 굴리기|132326|2|4|90|75|90|12|3.2121
고블린즈 드룰, 페어리즈 룰!|Goblins Drool Fairies Rule!|2013|https://boardlife.co.kr/data/boardgame_strategy/2013/08/08/1375957604-419764.jpg|6.665|6.01|가족|카드 게임,어린이 게임,교육,판타지,유머|핸드 관리,기억,세트 컬렉션|124390|1|4|15|15|15|7|1.0741
코드 777|Code 777|1985|https://boardlife.co.kr/wys2/swf_upload/2022/01/28/1643358613948814.png|6.657|6.69|추상|추리,퍼즐|종이와 연필|443|2|5|60|60|60|10|2.322
바퀴벌레 대소동|Kakerlaloop|2015|https://boardlife.co.kr/wys2/swf_upload/2022/06/14/1655211982414577.jpg|6.665|6.35|어린이|액션 / 손재주,어린이 게임,전자기기|롤 / 스핀 및 이동|172310|2|4|15|10|15|5|1
클래시 오브 스틸|Clash of Steel: A Tactical Card Game of Medieval Duels|2017|https://boardlife.co.kr/wys2/swf_upload/2022/04/16/165008360826440.jpg|6.664|6.00|전쟁|카드 게임,전투,중세|경매/입찰,베팅 및 블러핑,캠페인/배틀 카드 주도|223322|2|2|15|10|15|10|1.6667
패스트 트랙|Fast Track|0|https://boardlife.co.kr/data/boardgame_strategy/2015/09/21/1442807487-940947.png|6.665|6.35|전쟁|카드 게임,레이싱,실시간|경주,실시간|346422|2|2|0|0|0|0|0
폭발물 처리반 #9|Bomb Squad #9|2016|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/02/28/1551318846-472550.jpg|6.665|6.04|가족|블러핑,카드 게임,추리,기억력,출력 가능 게임|기억|195940|2|4|30|15|30|8|1.2
큐윅스|Qwixx|2012|https://boardlife.co.kr/wys2/swf_upload/2022/02/01/1643717632294487.jpg|6.638|6.58|가족|주사위,수학,숫자|빙고,주사위 굴리기,종이와 연필|131260|2|5|15|15|15|8|1.1153
드라큘라의 축제|Dracula's Feast|2016|https://boardlife.co.kr/data/boardgame_strategy/2017/08/18/1503036023-266127.gif|6.664|8.00|파티|블러핑,카드 게임,추리,공포,유머,기억력,파티 게임|기억,플레이어 탈락,역할 놀이,가변적 플레이어 능력|159575|4|8|15|5|15|10|1.4167
오크 오크 오크|Orcs Orcs Orcs|2014|https://boardlife.co.kr/wys2/swf_upload/2022/07/02/1656694176138660.jpg|6.664|6.48|테마|판타지|Deck, Bag, and Pool Building|165477|2|4|45|45|45|13|2
문록 조선의 역|Bunroku: Campaign in Korea|2009|https://boardlife.co.kr/data/boardgame_strategy/2016/07/03/1467525327-546165.png|6.664|6.00|전쟁|르네상스,전쟁 게임|오픈 드래프팅,지점 이동|43260|1|2|400|400|400|12|1.6667
레이저 메이즈|Laser|2012|https://boardlife.co.kr/data/boardgame_strategy/2014/01/20/1390216463-258522.jpg|6.665|6.50|전쟁|유머,파티 게임|기억,패턴 인식,팀 기반 게임|288350|2|10|45|15|45|8|1.5
폴리티컬 월드|Political World|2017|https://boardlife.co.kr/data/boardgame_strategy/2017/01/31/1485825324-699030.gif|6.664|6.00|전쟁|정치|롤 / 스핀 및 이동|238298|2|4|60|30|60|14|0
먼저 실례하겠습니다~|Osaki ni Shitsurei Shima-su!!|2008|https://boardlife.co.kr/data/boardgame_strategy/2016/07/13/1468377734-788520.png|6.664|6.00|파티|유머|핸드 관리,세트 컬렉션|37477|2|4|20|20|20|0|1.2857
욕심쟁이 여우|Fuchs-Alarm!|2016|https://boardlife.co.kr/wys2/swf_upload/2022/08/18/1660827982524503.jpg|6.665|6.35|전쟁|동물,어린이 게임|세트 컬렉션|211599|2|4|15|5|15|4|0
훈타|Junta|1978|https://boardlife.co.kr/wys2/swf_upload/2022/02/05/1644032890888329.jpg|6.664|6.00|테마|블러핑,유머,마피아,협상,정치,전쟁 게임|영역 이동,주사위 굴리기,이벤트,핸드 관리,동시 동작 선택,거래,가변적 플레이어 능력,투표|242|2|7|240|240|240|16|2.8705
산티아고 데 쿠바|Santiago de Cuba|2011|https://boardlife.co.kr/wys2/swf_upload/2022/06/20/1655658051069723.jpg|6.665|6.50|가족|경제|상품 투기,주사위 굴리기,기억,모듈형 게임판,수령과 배달,자원 소모 이동,트랙 이동,근로자 배치|104347|2|4|75|40|75|10|2.1567
굴로 굴로|Gulo Gulo|2001|https://boardlife.co.kr/data/boardgame_strategy/2013/06/04/1370285688-541374.jpg|6.665|6.50|어린이|액션 / 손재주,동물,어린이 게임,유머|모듈형 게임판,물리적 제거|6351|2|6|20|15|20|5|1.0813
별들 사이에서|Among the Stars|2012|https://boardlife.co.kr/wys2/swf_upload/2022/02/03/1643837941783824.jpg|6.664|6.00|전략|카드 게임,도시 건설,SF|비공개 제도,오픈 드래프팅,동시 동작 선택,타일 ​​배치,가변적 플레이어 능력|110277|2|4|30|30|30|12|2.2336
디즐|Dizzle|2019|https://boardlife.co.kr/data/boardgame_strategy_reg/2019/02/12/1549943547-750777.jpg|6.664|7.50|가족|주사위|주사위 굴리기,오픈 드래프팅,종이와 연필|269199|1|4|30|30|30|8|1.2609
고 쿡쿠!|Go Cuckoo!|2016|https://boardlife.co.kr/wys2/swf_upload/2022/09/06/166239452939879.jpg|6.664|6.00|가족|액션 / 손재주,어린이 게임,파티 게임|쌓기와 균형 잡기|192547|2|5|15|10|15|4|1
진격의 거인 : 덱빌딩 게임|Attack on Titan: Deck-Building Game|2016|https://boardlife.co.kr/data/boardgame_strategy/2016/12/05/1480865482-464433.gif|6.664|6.00|전략|카드 게임,판타지,영화 / TV / 라디오 테마|협동 게임|194230|1|5|90|60|90|15|2.2105
여왕폐하 만세|Long Live the Queen|2014|https://boardlife.co.kr/data/boardgame_strategy/2016/09/08/1473306886-157144.png|6.664|6.00|전략|카드 게임,주사위,중세|주사위 굴리기,비밀 유닛 배치,타일 ​​배치|160419|2|2|15|15|15|0|1.6923
케이브|The Cave|2012|https://boardlife.co.kr/data/boardgame_strategy/2013/06/13/1371064046-554343.jpg|6.664|6.00|테마|환경,탐험,미로,여행|액션 포인트,모듈형 게임판,세트 컬렉션,타일 ​​배치|129351|2|5|60|60|60|10|2.5155
하이킹 가자|Let's Take a Hike|2011|https://boardlife.co.kr/wys2/swf_upload/2022/04/13/1649854767099350.jpg|6.665|7.23|가족|카드 게임,어린이 게임|핸드 관리,오픈 드래프팅|104063|2|5|30|20|30|5|1.35
꿈의 대화|When I Dream|2016|https://boardlife.co.kr/data/boardgame_strategy/2021/02/18/1613638846-796963.png|6.661|6.74|파티|추리,파티 게임,실시간,단어 게임|통신 제한,숨겨진 역할,기억,역할 놀이,스토리텔링,팀 기반 게임|198454|4|10|40|20|40|8|1.2133
영광의 날개: 제2차 세계대전 스타터 세트|Wings of Glory: WW2 Starter Set|2012|https://boardlife.co.kr/data/boardgame_strategy/2013/06/18/1371485230-607435.jpg|6.664|6.00|전쟁|항공 / 비행,카드 게임,미니어처,전쟁 게임,2차 세계 대전|시뮬레이션,동시 동작 선택,팀 기반 게임|107148|2|4|45|45|45|8|2.619
마이크로 몬스터|Micro Monsters|2012|https://boardlife.co.kr/wys2/swf_upload/2022/04/20/165039328897533.jpg|6.664|6.00|어린이|액션 / 손재주,어린이 게임,전투|주사위 굴리기,가변적 플레이어 능력|100795|2|4|30|30|30|6|1
개가 온다|Here Comes the Dog|2018|https://boardlife.co.kr/data/boardgame_strategy_reg/2020/03/13/1584060875-159087.png|6.664|6.00|전쟁|액션 / 손재주,동물,주사위,선사시대|주사위 굴리기|252892|2|4|45|30|45|9|1
배틀 오브 베르세르크|Battle of Berserk|0|https://boardlife.co.kr/data/boardgame_strategy/2013/11/10/1384087865-139009.jpg|6.664|6.00|전쟁|만화 / 연재물,판타지,전투|작업 대기열,핸드 관리|150576|2|2|10|10|10|12|0
스카이워드|Skyward|2017|https://boardlife.co.kr/wys2/swf_upload/2022/04/07/1649265302868470.jpg|6.664|6.00|전략|카드 게임|핸드 관리,오픈 드래프팅,세트 컬렉션|209664|2|4|45|30|45|12|1.9333
리밋츠|Limits|2001|https://boardlife.co.kr/data/boardgame_strategy/2013/06/17/1371480812-147363.jpg|6.664|7.50|가족|카드 게임,기억력||1253|2|6|45|45|45|8|1.1379
아이돌 프로젝트|Idol Project|2011|https://boardlife.co.kr/data/boardgame_strategy/2014/11/05/1415117821-960125.png|6.664|6.00|테마|카드 게임,음악|경매/입찰|96410|3|5|60|60|60|16|2.3333
토카이도: 마츠리|Tokaido: Matsuri|2015|https://boardlife.co.kr/wys2/swf_upload/2022/02/28/1646026842877709.jpg|6.664|6.00|가족|확장 게임,여행|지점 이동,세트 컬렉션,타임 트랙,가변적 플레이어 능력,근로자 배치|171503|2|5|45|45|0|8|1.7333
무모한 자들의 시련|Gauntlet of Fools|2012|https://boardlife.co.kr/wys2/swf_upload/2022/03/17/1647519226651778.png|6.664|6.00|테마|모험,카드 게임,주사위,판타지,전투|경매/입찰,주사위 굴리기,플레이어 탈락,행운을 빕니다,가변적 플레이어 능력|129293|2|6|30|30|30|13|1.4648
도로도코(도둑은 어디에 있을까)|Doro-Doko|2017|https://boardlife.co.kr/data/boardgame_strategy/2017/07/04/1499102942-986826.gif|6.664|6.00|가족|추리|지점 이동,비밀 유닛 배치|229086|3|5|60|30|60|9|1
드림 홈|Dream Home|2016|https://boardlife.co.kr/data/boardgame_strategy/2021/02/18/1613637508-834801.jpg|6.646|6.60|가족|카드 게임|기억,오픈 드래프팅,패턴 구축,세트 컬렉션,가변적 단계 순서|194880|2|4|30|30|30|7|1.6753
사일런트 팬텀|Psylent Phantom|2019|https://boardlife.co.kr/wys2/swf_upload/2022/05/18/165287924543515.jpg|6.664|6.00|전쟁|블러핑,카드 게임,추리||296040|2|4|20|15|20|12|1.5
라이벌들|BraveRats|2014|https://boardlife.co.kr/data/boardgame_strategy/2014/12/10/1418158480-7665.png|6.664|6.00|가족|카드 게임,판타지|동시 동작 선택|112373|2|2|15|15|15|8|1.156
가르곤|Gargon|2001|https://boardlife.co.kr/wys2/swf_upload/2022/05/13/1652441660791422.jpg|6.664|6.00|가족|카드 게임,판타지||2542|3|5|45|45|45|10|1.7463
